publicid,eventtype,datetime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2017p378982,,2017-05-21T05:21:56.499Z,2017-05-21T05:23:31.639Z,175.9800187,-40.54857818,1.349286834,28.671875,M,,NonLinLoc,,automatic,nz3drx,10,10,4,0.01057273804,65.002913,0.2747925313,0
2017p378910,earthquake,2017-05-21T04:43:33.082Z,2017-05-21T07:19:33.742Z,172.5027008,-42.76084518,2.807497378,6.097337723,M,,LOCSAT,confirmed,manual,iasp91,16,11,7,0.1718441993,60.41152954,0.6489058826,0
2017p378863,,2017-05-21T04:19:01.092Z,2017-05-21T04:20:28.472Z,175.5695225,-39.31166178,0.862507169,5.46875,M,,NonLinLoc,,automatic,nz3drx,11,11,4,0.01972875196,131.7332984,0.7408332237,0
2017p378830,earthquake,2017-05-21T04:00:37.225Z,2017-05-21T07:18:34.201Z,172.8905792,-42.65110779,2.723863358,14.8495369,M,,LOCSAT,confirmed,manual,iasp91,14,8,5,0.3334166408,97.39620209,0.6200970548,0
2017p378750,earthquake,2017-05-21T03:18:29.572Z,2017-05-21T21:08:33.102Z,176.3167877,-40.1583786,3.001665682,40.50275803,M,,LOCSAT,confirmed,manual,iasp91,30,17,13,0.1335993558,49.84259033,0.3422116142,0
2017p378729,,2017-05-21T03:07:15.251Z,2017-05-21T03:09:22.895Z,172.3897643,-43.57271691,2.491208234,9.21875,M,,NonLinLoc,,automatic,nz3drx,11,11,3,0.2346557916,94.56814248,0.6262576811,0
2017p378645,earthquake,2017-05-21T02:22:58.159Z,2017-05-21T18:56:31.087Z,175.716507,-39.36478806,1.116257094,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,16,16,6,0.05048617348,148.3415222,0.1995566241,0
2017p378516,,2017-05-21T01:13:20.708Z,2017-05-21T01:15:21.104Z,173.7601261,-42.2952176,2.198861304,23.75,M,,NonLinLoc,,automatic,nz3drx,12,12,4,0.2039026793,198.4426647,0.4970537572,0
2017p378414,,2017-05-21T00:19:06.950Z,2017-05-21T02:08:08.452Z,176.1135789,-39.55324124,2.199701834,75.3125,M,,NonLinLoc,,automatic,nz3drx,10,10,4,0.07377169657,97.28525102,1.056879017,0
2017p378381,earthquake,2017-05-21T00:01:55.654Z,2017-05-21T07:17:32.854Z,166.7020721,-45.49325562,3.757863062,6.992833614,M,,LOCSAT,confirmed,manual,iasp91,17,11,8,0.3189105988,225.7282181,0.663590108,0
2017p378285,,2017-05-20T23:10:27.795Z,2017-05-20T23:12:29.255Z,173.3013052,-42.54389758,2.551493957,22.34375,M,,NonLinLoc,,automatic,nz3drx,18,18,6,0.2174692238,148.0956541,0.5364370127,0
2017p378155,,2017-05-20T22:01:24.111Z,2017-05-20T22:44:16.017Z,174.3050701,-40.73125191,2.322558697,47.65625,M,,NonLinLoc,,automatic,nz3drx,17,17,10,0.3005255342,85.99134653,0.4786292163,0
2017p378081,,2017-05-20T21:21:53.063Z,2017-05-20T21:23:23.026Z,178.14102,-37.76585162,1.888214646,40.625,M,,NonLinLoc,,automatic,nz3drx,11,11,4,0.113599359,267.0852917,0.953108544,0
2017p378075,,2017-05-20T21:18:26.123Z,2017-05-20T21:19:37.151Z,176.2910003,-40.35368157,1.742598333,26.09375,M,,NonLinLoc,,automatic,nz3drx,10,10,7,0.1073739929,104.9761064,0.2211679814,0
2017p378049,,2017-05-20T21:04:46.526Z,2017-05-20T21:06:12.278Z,176.2566955,-39.6350852,1.76241462,27.265625,M,,NonLinLoc,,automatic,nz3drx,16,16,7,0.08742552655,82.92046494,0.5217685186,0
2017p378030,earthquake,2017-05-20T20:54:23.034Z,2017-05-21T07:16:25.271Z,178.9157104,-37.20743179,3.276851249,7.052963257,M,,LOCSAT,confirmed,manual,iasp91,10,5,5,0.6006913781,332.6417389,0.4531509131,0
